name,address,street,city_state_zip,country,latitude,longitude,rating,review_count,website,phone,place_id,categories,timezone
Guildford Weightlifting,"Unit 2, Guildford Weightlifting, Weightlifting, Pew Corner, Old Portsmouth Rd, Guildford GU3 1LP","Unit 2, Weightlifting",Pew Corner,Old Portsmouth Rd,51.2195319,-0.5793961,5,4,https://www.facebook.com/guildfordweightlifting/,07890 968154,ChIJC3D83GHQdUgRz3jwCf8QrKA,Gym,Europe/London
Complete Performance,"Complete Performance, 3 Whitney Rd, Basingstoke RG24 8NS",3 Whitney Rd,Basingstoke,RG24 8NS,51.2744247,-1.0667058,5,68,http://complete-performance.co.uk/,01256 840333,ChIJ-9UogW4hdEgRpCyA6-dMxcg,"Gym, Fitness centre, Personal trainer",Europe/London
Société Athlétique Montmartroise,"Société Athlétique Montmartroise, Centre sportif Bertrand Dauvin, 12 Rue René Binet, 75018 Paris, France",Centre sportif Bertrand Dauvin,12 Rue René Binet,75018 Paris,48.8994691,2.3423243,4.1,41,https://www.paris-sam.fr/,+33 6 37 85 24 74,ChIJ32_aS_Ru5kcRVEJesTwPax0,Weightlifting area,Europe/Paris
Team Cavanagh Weightlifting,"Team Cavanagh Weightlifting, 719a South St, Glasgow G14 0QQ",719a South St,Glasgow,G14 0QQ,55.8728348,-4.34133,5,12,,+44 78556342,ChIJT3dCd5hHiEgRMg92wsDczco,"Sports club, Gym",Europe/London
Easm Entente Athletique,"Easm Entente Athletique, Complexe Robert Monceau, 12 Av. Paul Berniard, 33160 Saint-Médard-en-Jalles, France",Complexe Robert Monceau,12 Av. Paul Berniard,33160 Saint-Médard-en-Jalles,44.8839149,-0.70795,4.8,11,https://www.easm33160.com/,+33 5 57 93 01 94,ChIJFWm0_PzQVA0R3C4w2V9DC5s,Sports club,Europe/Paris
CrossFit Murrayfield,"CrossFit Murrayfield, 16 Sauchiebank, Edinburgh EH11 2NN",16 Sauchiebank,Edinburgh,EH11 2NN,55.94247,-3.2274369999999997,4.9,135,http://www.crossfitmurrayfield.com/,07853 990554,ChIJuQOUWanHh0gR4r0NGAeTalA,Fitness centre,Europe/London
AFHMA Haltérophilie-Musculation,"AFHMA Haltérophilie-Musculation, Bd Rhin et Danube, 95130 Franconville, France",Bd Rhin et Danube,95130 Franconville,France,48.991909799999995,2.2205044,4.8,9,,,ChIJk5R0hT1n5kcRgE5UISAlOXA,Sports club,Europe/Paris
Orkney Amateur Weight Lifting Club,"Orkney Amateur Weight Lifting Club, Cairston Rd, Stromness KW16 3JS",Cairston Rd,Stromness,KW16 3JS,58.9694496,-3.2915408,,,https://www.facebook.com/OrkneyWeightlifting/,07740 883034,ChIJb4-_SNX7mkgR0KjrAMKAPjY,Sports club,Europe/London
SoCal Weightlifting,"SoCal Weightlifting, 3595 Cadillac Ave #103, Costa Mesa, CA 92626, United States",3595 Cadillac Ave #103,"Costa Mesa, CA 92626",United States,33.7002191,-117.92997749999999,5,218,http://socalwlc.com/,+1 949-228-9125,ChIJz78YOO4t3YARYfQ7XMO6ioI,Weightlifting area,America/Los_Angeles
Inverness Leisure,"Inverness Leisure, Bught Ln, Inverness IV3 5SS",Bught Ln,Inverness,IV3 5SS,57.464054,-4.2393564,4.2,1394,https://www.highlifehighland.com/il/,01463 667500,ChIJ8UKW3OFzj0gRU8umdYIrxNg,"Leisure centre, Athletic track, Gym, Public swimming pool, Rock climbing, Tourist attraction",Europe/London
Kolmar,"Kolmar Sutton Crescent, Papatoetoe, Auckland 1062, New Zealand",Sutton Crescent,Papatoetoe,Auckland 1062,-36.9724417,174.8616013,4.3,241,http://www.kolmar.org.nz/,+64 9 277 6710,ChIJHx_SKdVNDW0RvhlqqTS7orQ,Sports complex,Pacific/Auckland
Tōnuitanga. Prosperous Fitness,"Tōnuitanga. Prosperous Fitness 12 Ihakara Street, Paraparaumu 5032, New Zealand",12 Ihakara Street,Paraparaumu 5032,New Zealand,-40.919613299999995,175.0012318,5,6,https://www.tonuitanga.com/,+64 27 310 9951,ChIJq6gGmxShQG0RIXSHQMW5a3Y,Wellness Programme,Pacific/Auckland
Brooklyn Training Hall,"Brooklyn Training Hall, 321 Scholes St, Brooklyn, NY 11206, United States",321 Scholes St,"Brooklyn, NY 11206",United States,40.709742999999996,-73.935468,5,44,https://brooklyntraininghall.com/,+1 347-470-7743,ChIJ-47a3j1fwokRk2iIDA5H0sg,"Gym, Weightlifting area",America/New_York
JDI Barbell Harlem,"JDI Barbell Harlem, 1767 Park Ave, New York, NY 10035, United States",1767 Park Ave,"New York, NY 10035",United States,40.803241899999996,-73.9398856,4.8,144,http://www.jdibarbell.com/,+1 347-477-0089,ChIJSTCw2tdYwokRbAmQ0DjO_YY,Gym,America/New_York
Strength Academy Wales,"Strength Academy Wales, Pembrokeshire Sports Village, Haverfordwest SA61 2NX",Pembrokeshire Sports Village,Haverfordwest,SA61 2NX,51.806113599999996,-4.9610319,4.6,46,http://www.strengthacademy.wales/,,ChIJoSL-Q28vaUgRl0ssUZJHjg8,"Gym, Sports club",Europe/London
SSC Weightlifting,"SSC Weightlifting, Osborne Rd, Pontypool NP4 6LX",Osborne Rd,Pontypool,NP4 6LX,51.7041891,-3.0419422999999997,4.1,9,https://www.facebook.com/Willpowerweightliftingclub/,01495 757586,ChIJmx-Q5ZTecUgRHwoEkjhVj3k,Gym,Europe/London
Sunshine Coast Weightlifting Club,"Sunshine Coast Weightlifting Club, 20 Crusher Park Dr, Nambour QLD 4560, Australia",20 Crusher Park Dr,Nambour QLD 4560,Australia,-26.618933799999997,152.973425,5,2,http://www.facebook.com/sunnycoastweights,+61 457 368 277,ChIJBWWbKql5k2sRUdULtTrRd0o,Gym,Australia/Brisbane
Complexul Sportiv National Poiana Brasov,"Complexul Sportiv National Poiana Brasov, Unnamed Road, 500001 Brașov, Romania",Unnamed Road,500001 Brașov,Romania,45.5891747,25.5486611,4.4,96,https://csnpoianabrasov.ro/,,ChIJy_vxxYJEs0ARbxW-L0JlyFs,Amusement Centre,Europe/Bucharest
BlueWave Fitness & Weightlifting Club,"BlueWave Fitness & Weightlifting Club, 7523 Chapel Ave, Fort Worth, TX 76116, United States",7523 Chapel Ave,"Fort Worth, TX 76116",United States,32.7215007,-97.4460725,5,55,https://www.bluewavefitness.com/,+1 682-551-3069,ChIJlRX8MMZzToYR0AdbJFcCCi4,"Physical Fitness Programme, Gym",America/Chicago
East London Weightlifting,"East London Weightlifting, 325 Acton Mews, London E8 4EF",325 Acton Mews,London,E8 4EF,51.5381066,-0.07581729999999999,5,5,http://www.eastlondonweightlifting.co.uk/,,ChIJ-4ctDZwddkgRocT5qAU5Kxw,"Weightlifting area, Gym, Personal trainer",Europe/London
Ironwood Barbell,"Ironwood Barbell, 262 Prospect Rd, Prospect SA 5082, Australia",262 Prospect Rd,Prospect SA 5082,Australia,-34.8756439,138.5928315,5,17,http://www.ironwoodbarbellclub.com/,+61 450 585 053,ChIJudh02nrJsGoR8nMv3CRJ090,Gym,Australia/Adelaide
Orwell Fitness,"Unit 1, Orwell Fitness, Barn, 7 Peppers Lane, Ipswich IP9 2AB",Unit 1,Barn,7 Peppers Lane,52.0237974,1.1550616999999999,5,176,https://www.orwellfitness.com/,01473 875141,ChIJpQXDsyah2UcR2z9XjBiJC0Y,"Gym, Fitness centre, Physical Fitness Programme, Weightlifting area",Europe/London
Powerhouse Barbell Club,"LG/F, Powerhouse Barbell Club, Silver Fortune Plaza, 1 Wellington St, Central, Hong Kong",LG/F,Silver Fortune Plaza,1 Wellington St,22.2811152,114.15612569999999,5,48,https://www.powerhousebarbellclub.com/,+852 5119 0995,ChIJra8tJmcBBDQRycR-WVBwBM0,Gym,Asia/Hong_Kong
Tidal Weightlifting,"Tidal Weightlifting, 7 Glenealy, Central, Hong Kong",7 Glenealy,Central,Hong Kong,22.2794317,114.1548782,4.7,30,https://www.tidal-weightlifting.com/,+852 6795 9922,ChIJjWetaU0BBDQRiW6aE1ubZqg,"Gym, Fitness centre, Weightlifting area",Asia/Hong_Kong
Milton Weightlifting Club,"Milton Weightlifting Club, 40 Mayne Rd, Bowen Hills QLD 4006, Australia",40 Mayne Rd,Bowen Hills QLD 4006,Australia,-27.446014599999998,153.03494379999998,5,9,https://www.miltonoly.org/,,ChIJcx6G5YJZkWsR86YQXvS3h5U,Sports club,Australia/Brisbane
UAC force athletique Haltérophilie Musculation Culturisme,"UAC force athletique Haltérophilie Musculation Culturisme, 3 Rue Jean Monnet, 16100 Châteaubernard, France",3 Rue Jean Monnet,16100 Châteaubernard,France,45.6748628,-0.3189931,4.6,13,https://www.facebook.com/profile.php?id=100027966326937,,ChIJl2PsEmvzAEgRJKJD-wOPRUI,Sports club,Europe/Paris
Savoie Barbell Team,"Savoie Barbell Team, 660 Rue de Roberty, 73000 Chambéry, France",660 Rue de Roberty,73000 Chambéry,France,45.5975575,5.8986072,5,19,http://savoiebarbellteam.fr/,+33 6 46 80 35 48,ChIJuZlbh0Cpi0cRcjhY5alrIzQ,Sports club,Europe/Paris
MyFit,"MyFit, 31 Imp. du Fier, 74370 Epagny Metz-Tessy, France",31 Imp. du Fier,74370 Epagny Metz-Tessy,France,45.926411699999996,6.1161191,4.7,214,https://myfit.fr/,+33 4 50 60 21 60,ChIJlzqmjXmFi0cRMU71prG-l4U,"Gym, Fitness centre",Europe/Paris
PTL CrossFit Geneva,"PTL CrossFit Geneva, Rte de Saint-Julien 65, 1212 Genève, Switzerland",Rte de Saint-Julien 65,1212 Genève,Switzerland,46.1732058,6.128272399999999,5,11,https://ptlgeneva.ch/,,ChIJgTmm3-l7jEcRKLD887dbMnE,Sports club,Europe/Zurich
GymNation Downtown Dubai | Best Gym in Downtown Dubai,GymNation Downtown Dubai | Best Gym in Downtown Dubai - South Heights Tower A - Dubai - United Arab Emirates,South Heights Tower A,Dubai,United Arab Emirates,25.213169999999998,55.272619999999996,4.7,4221,https://gymnation.com/gymsnearme/downtown-dubai/,+971 4 444 4444,ChIJSZXqIDBDXz4RfFIZDzwAHdU,"Gym, Athletic Club, Boot camp, Boxing Gym, Fitness centre, Indoor cycling, Personal trainer, Spa and health club, Sports club, Weightlifting area",Asia/Dubai
Health & Fitness World,"Health & Fitness World, 69 William St, Launceston TAS 7250, Australia",69 William St,Launceston TAS 7250,Australia,-41.433555999999996,147.1363461,4.4,81,http://www.hfworld.com.au/,+61 3 6331 3133,ChIJvVewA-CmcKoRpoRHRDTj-6Y,"Gym, Personal trainer",Australia/Hobart
크라토스짐,"South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Gangseok-ro, 153 KR 크라토스짐","South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Gangseok-ro, 153",KR,,37.6541636,126.7774709,5,10,https://kratos.modoo.at/,+82 31-907-2009,ChIJjx8xAseFfDURnVoUZVxH7UE,Weightlifting area,Asia/Seoul
Atletika Weightlifting,"Atletika Weightlifting, 7/80 O'Riordan St, Alexandria NSW 2015, Australia",7/80 O'Riordan St,Alexandria NSW 2015,Australia,-33.9173419,151.1946758,4.9,41,http://sydneyweightlifting.com.au/,+61 449 526 072,ChIJY4lfUtyxEmsR4uBCZoXUFTI,Sports complex,Australia/Sydney
Singapore Weightlifting Federation,"3 Bedok North Street 2, Singapore Weightlifting Federation, Singapore 469643",3 Bedok North Street 2,Singapore 469643,,1.3265749999999998,103.93779699999999,4.8,13,http://www.swf.org.sg/,+65 6747 9330,ChIJVTQyrE8Y2jERLcM3jkMgcj4,Gym,Asia/Singapore
Summit Weightlifting Club,"Summit Weightlifting Club, 57 Chaston St, Wagga Wagga NSW 2650, Australia",57 Chaston St,Wagga Wagga NSW 2650,Australia,-35.1203626,147.3479715,5,20,https://summitstrengthperformance.com/,+61 499 080 991,ChIJfZ4BcliZGGsRJBuIgvNbpNA,Gym,Australia/Sydney
Associazione Pesistica Udinese,"Associazione Pesistica Udinese, Via Antonio Marangoni, 46, 33100 Udine UD, Italy","Via Antonio Marangoni, 46",33100 Udine UD,Italy,46.0594837,13.229368,4.1,14,,+39 0432 232108,ChIJXc297VU1ekcRfKoTFz6i8CM,Trade Union,Europe/Rome
Psych Weightlifting Club,"Psych Weightlifting Club, Unit 5 Leestone Rd, Sharston, Manchester M22 4RN",Unit 5 Leestone Rd,Sharston,Manchester,53.3972269,-2.2540266,4.9,47,http://www.psychweightlifting.co.uk/,07429 456021,ChIJb2-3KRlpekgRo2o2dK4y0b4,"Gym, Fitness centre, Weightlifting area",Europe/London
Sheffield Weightlifting Club,"Sheffield Weightlifting Club, 48-50 Hoyland Rd, Neepsend, Sheffield S3 8AB",48-50 Hoyland Rd,Neepsend,Sheffield,53.397472799999996,-1.4841011,5,17,https://www.sheffieldweightliftingclub.uk/,07783 653323,ChIJAeSA1Zx5eUgRdTlHJcWoEsI,Fitness centre,Europe/London
Elite Bodyworks,"Elite Bodyworks, Unit 10 Bessemer Rd, Basingstoke RG21 3NB",Unit 10 Bessemer Rd,Basingstoke,RG21 3NB,51.250892099999994,-1.1021615999999999,4.9,64,http://www.elite-bodyworks.com/,07852 134538,ChIJCegPIjAidEgRx5Lp-eyqHqM,Gym,Europe/London
Athlete Movement,"Athlete Movement, Passfield Mill Business Park, Mill Lane, Passfield, Liphook GU30 7QU",Passfield Mill Business Park,Mill Lane,Passfield,51.1029049,-0.8311695,4.9,115,https://athletemovement.com/,01428 751972,ChIJW6OmGq8zdEgROdfnPR48qvY,Gym,Europe/London
Hampshire Barbell Club,"Hampshire Barbell Club, The Club House, Portchester Community School, White Hart Ln, Portchester, Fareham PO16 9BD","The Club House, Portchester Community School",White Hart Ln,Portchester,50.8415652,-1.1274461,5,6,https://www.hampshirebarbellclub.co.uk/,07590 994041,ChIJ9VgcNZNddEgRYkE9bBhRC6M,Fitness centre,Europe/London
MSC Performance Strength & Conditioning Gym.,"MSC Performance Strength & Conditioning Gym., 57 Clement St, Birmingham B1 2SW",57 Clement St,Birmingham,B1 2SW,52.4818278,-1.9138083,4.9,131,http://www.mscperformance.co.uk/,,ChIJMT_vBPG8cEgRUUei5AGtoJE,"Gym, Sports complex, Sports injury clinic",Europe/London
Lincoln Lifting,"Lincoln Lifting, 6 Crofton Cl, Lincoln LN3 4NT",6 Crofton Cl,Lincoln,LN3 4NT,53.231495699999996,-0.5047638,5,48,http://www.lincolnlifting.co.uk/,07850 280770,ChIJXVhztjRbeEgRlQ7IcDKDVck,Gym,Europe/London
Red Beard Barbell Club,"Red Beard Barbell Club, Unit 2 Moor Farm, Holyport, Maidenhead SL6 2HY",Unit 2 Moor Farm,Holyport,Maidenhead,51.4971886,-0.7160436,5,51,,07854 426368,ChIJ77nZfOF9dkgRRXqPWnnztJI,Gym,Europe/London
Chichester Weightlifting Club,"Chichester Weightlifting Club, Unit 3 Delling Ln, Chichester PO18 8NW",Unit 3 Delling Ln,Chichester,PO18 8NW,50.8375899,-0.8513628,5,20,http://www.chichesterweightliftingclub.co.uk/,,ChIJ0RaN2zlNdEgRRpqZ2eVbd0c,Sports club,Europe/London
mettle Weightlifting & Strength Training Club,"mettle Weightlifting & Strength Training Club, 6-8 Stevenson Way, Sheffield S9 3WZ",6-8 Stevenson Way,Sheffield,S9 3WZ,53.3944421,-1.4351694,4.9,21,http://www.mettle.zone/,07734 842452,ChIJk_WjzHaCeUgRVPtzZWcVnVU,Gym,Europe/London
Nova Performance,"Unit 9, Nova Performance, Enfield Court, Nuffield Rd, St. Ives PE27 3NJ",Unit 9,Enfield Court,Nuffield Rd,52.337587,-0.06420139999999999,5,45,https://www.nova-performance.co.uk/,07845 718581,ChIJH24sPjHfd0gRKJpHSzOItyc,Gym,Europe/London
Maida Gym,"Maida Gym, Queen's Ave, Aldershot GU11 2BT",Queen's Ave,Aldershot,GU11 2BT,51.255297,-0.7644021,4.5,91,https://www.maidagym.com/,01252 333135,ChIJBQzmKqQsdEgRkqpoRTfdtdU,"Gym, Boxing Gym, Fitness centre, Indoor cycling, Judo club, Muay Thai boxing gym, Physical Fitness Programme, Weight-Loss Service, Weightlifting area, Women's personal trainer",Europe/London
Diamond Conditioning,"Diamond Conditioning, 7 James St, Llandudno LL30 2YD",7 James St,Llandudno,LL30 2YD,53.3232888,-3.8326949,4.9,15,https://m.facebook.com/diamondconditioning/,,ChIJ2ylFhMIfZUgRxudbVeAKu1E,Gym,Europe/London
Dartford Gym-Europa Weightlifting Club,"Dartford Gym-Europa Weightlifting Club, Temple Hill, Dartford DA1 5HX",Temple Hill,Dartford,DA1 5HX,51.450349599999996,0.2285398,4.7,74,,01322 223220,ChIJP3ugsZix2EcRv252hAFRyWE,"Gym, Dance school, Judo club, Muay Thai boxing gym, Football pitch, Weightlifting area",Europe/London
Brunel Weightlifting Club,"Brunel Weightlifting Club, Indoor Athletics Centre, Kingston Ln, Uxbridge UB8 3PH",Indoor Athletics Centre,Kingston Ln,Uxbridge,51.5325,-0.4697222,4.4,75,http://www.brunelweightlifting.com/,01895 267475,ChIJ_0I4UOBtdkgRBomMr-6Ydh0,"Weightlifting area, Sports complex",Europe/London
Bethnal Green Weight Lifting Club,"Bethnal Green Weight Lifting Club, 229 Bethnal Grn Rd, London E2 6AB",229 Bethnal Grn Rd,London,E2 6AB,51.5263748,-0.06794739999999999,4.8,97,https://bgwlc.co.uk/,,ChIJY1M8M8YcdkgROzRPJu0Rgjk,Weightlifting area,Europe/London
THE LIONS DEN,"36 Robinson Rd, B1-02 THE LIONS DEN, City House, Singapore 068877",36 Robinson Rd,B1-02,City House,1.2813463,103.8499435,5,35,http://thelionsden.fitness/,+65 8874 2981,ChIJq1RE3bcZ2jER30wF87WEr8s,Gym,Asia/Singapore
National Training Centre (Singapore Taekwondo Federation),"80 Lor Limau, National Training Centre (Singapore Taekwondo Federation), Singapore 320080",80 Lor Limau,Singapore 320080,,1.3238364,103.85577599999999,3.8,6,http://www.stf.sg/facilities,,ChIJL2daztkZ2jERD_Bxthvl0JE,Gym,Asia/Singapore
Stronger Together Cape Town,"Stronger Together Cape Town, 35 Sussex St, Woodstock, Cape Town, 7925, South Africa",35 Sussex St,"Woodstock, Cape Town",7925,-33.9283478,18.446654499999998,5,24,https://www.strongertogethercapetown.org/,+27 71 184 3067,ChIJjeBnql1dzB0RBIPBMdgQZJg,Fitness centre,Africa/Johannesburg
Dutch Strength,"Dutch Strength, Hobbemakade 7, 1071 XK Amsterdam, Netherlands",Hobbemakade 7,1071 XK Amsterdam,Netherlands,52.3583479,4.8862191,5,35,https://www.dutchstrength.com/,,ChIJsdIheu4JxkcRvmXsMSU2SeE,Gym,Europe/Amsterdam
SilverGiant Fitness,"SilverGiant Fitness, Al hayah academy gate 10, South Police Academy Passage, Cairo Governorate 4731501, Egypt",Al hayah academy gate 10,South Police Academy Passage,Cairo Governorate 4731501,30.030397699999998,31.4250756,4.6,156,http://www.silvergiantfitness.com/,+20 11 50088208,ChIJeZYVLCI9WBQRkFXP_2G1gTk,Gym,Africa/Cairo
DASGYM.- Intelligent Strength,"DASGYM.- Intelligent Strength, Handelskai 340, 1020 Wien, Austria",Handelskai 340,1020 Wien,Austria,48.2088646,16.427656199999998,4.9,1460,http://www.intelligentstrength.net/,+43 664 2517226,ChIJiTMtajEHbUcRJz4vb5Z5VVE,"Fitness centre, Gym",Europe/Vienna
Kingdom Barbell,"Unit 23, Kingdom Barbell, 25 Harnham Trading Estate, Salisbury SP2 8NW",Unit 23,25 Harnham Trading Estate,Salisbury,51.059174,-1.8219542,5,31,https://kingdombarbell.com/,07807 176939,ChIJ48GCE7jrc0gRln8clgQPPg4,"Gym, Personal trainer, Physical Fitness Programme, Sports club, Weight-Loss Service",Europe/London
Mem's Weightlifting Club,"Arch 22 & 25, Mem's Weightlifting Club, 22 Bondway, London SW8 1SQ",Arch 22 & 25,22 Bondway,London,51.4832775,-0.1252155,5,33,http://www.memsweightlifting.com/,07584 628909,ChIJa9HoyTAFdkgRvMAlCmporAo,Gym,Europe/London
