name,added_by,note,address,street,city_state_zip,country,latitude,longitude,rating,review_count,website,phone,place_id,categories,timezone
SilverGiant Fitness,Sara Strong,"Holly went, said it was good","SilverGiant Fitness, Al hayah academy gate 10, South Police Academy Passage, Cairo Governorate 4731501, Egypt",Al hayah academy gate 10,South Police Academy Passage,Cairo Governorate 4731501,30.030397699999998,31.4250756,4.6,158,http://www.silvergiantfitness.com/,+20 11 50088208,ChIJeZYVLCI9WBQRkFXP_2G1gTk,Gym,Africa/Cairo
DASGYM.- Intelligent Strength,Sara Strong,"Athletics hall is contains powerlifting, weightlifting and a functional fitness area. Additionally 2 floors of bodybuilding machines available and on-site restaurant","DASGYM.- Intelligent Strength, Handelskai 340, 1020 Wien, Austria",Handelskai 340,1020 Wien,Austria,48.2088646,16.427656199999998,4.9,1466,http://www.intelligentstrength.net/,+43 664 2517226,ChIJiTMtajEHbUcRJz4vb5Z5VVE,"Fitness center, Gym",Europe/Vienna
Kingdom Barbell,Sara Strong,Small but friendly,"Unit 23, Kingdom Barbell, 25 Harnham Trading Estate, Salisbury SP2 8NW, United Kingdom",Unit 23,25 Harnham Trading Estate,Salisbury SP2 8NW,51.059174,-1.8219542,5,31,https://kingdombarbell.com/,+44 7807 176939,ChIJ48GCE7jrc0gRln8clgQPPg4,"Gym, Personal trainer, Physical fitness program, Sports club, Weight loss service",Europe/London
Mem's Weightlifting Club,Sara Strong,home,"Arch 22 & 25, Mem's Weightlifting Club, 22 Bondway, London SW8 1SQ, United Kingdom",Arch 22 & 25,22 Bondway,London SW8 1SQ,51.4832775,-0.1252155,5,34,http://www.memsweightlifting.com/,+44 7584 628909,ChIJa9HoyTAFdkgRvMAlCmporAo,Gym,Europe/London
Athlete Movement,Jean-Baptiste Adams,,"Athlete Movement, Passfield Mill Business Park, Mill Lane, Passfield, Liphook GU30 7QU, United Kingdom",Passfield Mill Business Park,Mill Lane,Passfield,51.1029049,-0.8311695,4.9,116,https://athletemovement.com/,+44 1428 751972,ChIJW6OmGq8zdEgROdfnPR48qvY,Gym,Europe/London
Hampshire Barbell Club,Jean-Baptiste Adams,,"Hampshire Barbell Club, The Club House, Portchester Community School, White Hart Ln, Portchester, Fareham PO16 9BD, United Kingdom","The Club House, Portchester Community School",White Hart Ln,Portchester,50.8415652,-1.1274461,5,6,https://www.hampshirebarbellclub.co.uk/,+44 7590 994041,ChIJ9VgcNZNddEgRYkE9bBhRC6M,Fitness center,Europe/London
MSC Performance Strength & Conditioning Gym.,Jean-Baptiste Adams,,"MSC Performance Strength & Conditioning Gym., 57 Clement St, Birmingham B1 2SW, United Kingdom",57 Clement St,Birmingham,B1 2SW,52.4818278,-1.9138083,4.9,132,http://www.mscperformance.co.uk/,,ChIJMT_vBPG8cEgRUUei5AGtoJE,"Gym, Sports complex, Sports injury clinic",Europe/London
Lincoln Lifting,Jean-Baptiste Adams,,"Lincoln Lifting, 6 Crofton Cl, Lincoln LN3 4NT, United Kingdom",6 Crofton Cl,Lincoln,LN3 4NT,53.231495699999996,-0.5047638,5,48,http://www.lincolnlifting.co.uk/,+44 7850 280770,ChIJXVhztjRbeEgRlQ7IcDKDVck,Gym,Europe/London
Red Beard Barbell Club,Jean-Baptiste Adams,,"Red Beard Barbell Club, Unit 2 Moor Farm, Holyport, Maidenhead SL6 2HY, United Kingdom",Unit 2 Moor Farm,Holyport,Maidenhead SL6 2HY,51.4971886,-0.7160436,5,51,,+44 7854 426368,ChIJ77nZfOF9dkgRRXqPWnnztJI,Gym,Europe/London
Chichester Weightlifting Club,Jean-Baptiste Adams,,"Chichester Weightlifting Club, Unit 3 Delling Ln, Chichester PO18 8NW, United Kingdom",Unit 3 Delling Ln,Chichester,PO18 8NW,50.8375899,-0.8513628,5,20,http://www.chichesterweightliftingclub.co.uk/,,ChIJ0RaN2zlNdEgRRpqZ2eVbd0c,Sports club,Europe/London
Atletika Weightlifting,Jean-Baptiste Adams,,"Atletika Weightlifting, 7/80 O'Riordan St, Alexandria NSW 2015, Australia",7/80 O'Riordan St,Alexandria NSW 2015,Australia,-33.9173419,151.1946758,4.9,41,http://sydneyweightlifting.com.au/,+61 449 526 072,ChIJY4lfUtyxEmsR4uBCZoXUFTI,Sports complex,Australia/Sydney
Summit Weightlifting Club,Jean-Baptiste Adams,,"Summit Weightlifting Club, 57 Chaston St, Wagga Wagga NSW 2650, Australia",57 Chaston St,Wagga Wagga NSW 2650,Australia,-35.1203626,147.3479715,5,20,https://summitstrengthperformance.com/,+61 499 080 991,ChIJfZ4BcliZGGsRJBuIgvNbpNA,Gym,Australia/Sydney
Psych Weightlifting Club,Jean-Baptiste Adams,,"Psych Weightlifting Club, Unit 5 Leestone Rd, Sharston, Manchester M22 4RN, United Kingdom",Unit 5 Leestone Rd,Sharston,Manchester M22 4RN,53.3972269,-2.2540266,4.9,47,http://www.psychweightlifting.co.uk/,+44 7429 456021,ChIJb2-3KRlpekgRo2o2dK4y0b4,"Gym, Fitness center, Weightlifting area",Europe/London
Sheffield Weightlifting Club,Jean-Baptiste Adams,,"Sheffield Weightlifting Club, 48-50 Hoyland Rd, Neepsend, Sheffield S3 8AB, United Kingdom",48-50 Hoyland Rd,Neepsend,Sheffield S3 8AB,53.397472799999996,-1.4841011,5,17,https://www.sheffieldweightliftingclub.uk/,+44 7783 653323,ChIJAeSA1Zx5eUgRdTlHJcWoEsI,Fitness center,Europe/London
Elite Bodyworks,Jean-Baptiste Adams,,"Elite Bodyworks, Unit 10 Bessemer Rd, Basingstoke RG21 3NB, United Kingdom",Unit 10 Bessemer Rd,Basingstoke,RG21 3NB,51.250892099999994,-1.1021615999999999,4.9,64,http://www.elite-bodyworks.com/,+44 7852 134538,ChIJCegPIjAidEgRx5Lp-eyqHqM,Gym,Europe/London
Milton Weightlifting Club,Jean-Baptiste Adams,,"Milton Weightlifting Club, 40 Mayne Rd, Bowen Hills QLD 4006, Australia",40 Mayne Rd,Bowen Hills QLD 4006,Australia,-27.446014599999998,153.03494379999998,5,9,https://www.miltonoly.org/,,ChIJcx6G5YJZkWsR86YQXvS3h5U,Sports club,Australia/Brisbane
UAC force athletique Haltérophilie Musculation Culturisme,Jean-Baptiste Adams,,"UAC force athletique Haltérophilie Musculation Culturisme, 3 Rue Jean Monnet, 16100 Châteaubernard, France",3 Rue Jean Monnet,16100 Châteaubernard,France,45.6748628,-0.3189931,4.6,13,https://www.facebook.com/profile.php?id=100027966326937,,ChIJl2PsEmvzAEgRJKJD-wOPRUI,Sports club,Europe/Paris
Savoie Barbell Team,Jean-Baptiste Adams,,"Savoie Barbell Team, 660 Rue de Roberty, 73000 Chambéry, France",660 Rue de Roberty,73000 Chambéry,France,45.5975575,5.8986072,5,19,http://savoiebarbellteam.fr/,+33 6 46 80 35 48,ChIJuZlbh0Cpi0cRcjhY5alrIzQ,Sports club,Europe/Paris
MyFit,Jean-Baptiste Adams,,"MyFit, 31 Imp. du Fier, 74370 Epagny Metz-Tessy, France",31 Imp. du Fier,74370 Epagny Metz-Tessy,France,45.926411699999996,6.1161191,4.8,216,https://myfit.fr/,+33 4 50 60 21 60,ChIJlzqmjXmFi0cRMU71prG-l4U,"Gym, Fitness center",Europe/Paris
PTL CrossFit Geneva,Jean-Baptiste Adams,,"PTL CrossFit Geneva, Rte de Saint-Julien 65, 1212 Genève, Switzerland",Rte de Saint-Julien 65,1212 Genève,Switzerland,46.1732058,6.128272399999999,5,11,https://ptlgeneva.ch/,,ChIJgTmm3-l7jEcRKLD887dbMnE,Sports club,Europe/Zurich
Health & Fitness World,Jean-Baptiste Adams,,"Health & Fitness World, 69 William St, Launceston TAS 7250, Australia",69 William St,Launceston TAS 7250,Australia,-41.433555999999996,147.1363461,4.4,81,http://www.hfworld.com.au/,+61 3 6331 3133,ChIJvVewA-CmcKoRpoRHRDTj-6Y,"Gym, Personal trainer",Australia/Hobart
크라토스짐,Jean-Baptiste Adams,,"South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Gangseok-ro, 153 KR 크라토스짐","South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Gangseok-ro, 153",KR,,37.6541636,126.7774709,5,10,https://kratos.modoo.at/,+82 31-907-2009,ChIJjx8xAseFfDURnVoUZVxH7UE,Weightlifting area,Asia/Seoul
SSC Weightlifting,Jean-Baptiste Adams,,"SSC Weightlifting, Osborne Rd, Pontypool NP4 6LX, United Kingdom",Osborne Rd,Pontypool,NP4 6LX,51.7041891,-3.0419422999999997,4.1,9,https://www.facebook.com/Willpowerweightliftingclub/,+44 1495 757586,ChIJmx-Q5ZTecUgRHwoEkjhVj3k,Gym,Europe/London
Sunshine Coast Weightlifting Club,Jean-Baptiste Adams,,"Sunshine Coast Weightlifting Club, 20 Crusher Park Dr, Nambour QLD 4560, Australia",20 Crusher Park Dr,Nambour QLD 4560,Australia,-26.618933799999997,152.973425,5,2,http://www.facebook.com/sunnycoastweights,+61 457 368 277,ChIJBWWbKql5k2sRUdULtTrRd0o,Gym,Australia/Brisbane
BlueWave Fitness & Weightlifting Club,Jean-Baptiste Adams,,"BlueWave Fitness & Weightlifting Club, 7523 Chapel Ave, Fort Worth, TX 76116, United States",7523 Chapel Ave,"Fort Worth, TX 76116",United States,32.7215007,-97.4460725,5,55,https://www.bluewavefitness.com/,+1 682-551-3069,ChIJlRX8MMZzToYR0AdbJFcCCi4,"Physical fitness program, Gym",America/Chicago
East London Weightlifting,Jean-Baptiste Adams,,"East London Weightlifting, 325 Acton Mews, London E8 4EF, United Kingdom",325 Acton Mews,London,E8 4EF,51.5381066,-0.07581729999999999,5,5,http://www.eastlondonweightlifting.co.uk/,,ChIJ-4ctDZwddkgRocT5qAU5Kxw,"Weightlifting area, Gym, Personal trainer",Europe/London
Ironwood Barbell,Jean-Baptiste Adams,,"Ironwood Barbell, 262 Prospect Rd, Prospect SA 5082, Australia",262 Prospect Rd,Prospect SA 5082,Australia,-34.8756439,138.5928315,5,16,http://www.ironwoodbarbellclub.com/,+61 450 585 053,ChIJudh02nrJsGoR8nMv3CRJ090,Gym,Australia/Adelaide
Orwell Fitness,Jean-Baptiste Adams,,"Unit 1, Orwell Fitness, Barn, 7 Peppers Lane, Ipswich IP9 2AB, United Kingdom","Unit 1, Barn",7 Peppers Lane,Ipswich IP9 2AB,52.0237974,1.1550616999999999,5,176,https://www.orwellfitness.com/,+44 1473 875141,ChIJpQXDsyah2UcR2z9XjBiJC0Y,"Gym, Fitness center, Physical fitness program, Weightlifting area",Europe/London
AFHMA Haltérophilie-Musculation,Jean-Baptiste Adams,,"AFHMA Haltérophilie-Musculation, Bd Rhin et Danube, 95130 Franconville, France",Bd Rhin et Danube,95130 Franconville,France,48.991909799999995,2.2205044,4.8,9,,,ChIJk5R0hT1n5kcRgE5UISAlOXA,Sports club,Europe/Paris
SoCal Weightlifting,Jean-Baptiste Adams,,"SoCal Weightlifting, 3595 Cadillac Ave #103, Costa Mesa, CA 92626, United States",3595 Cadillac Ave #103,"Costa Mesa, CA 92626",United States,33.7002191,-117.92997749999999,5,218,http://socalwlc.com/,+1 949-228-9125,ChIJz78YOO4t3YARYfQ7XMO6ioI,Weightlifting area,America/Los_Angeles
Tōnuitanga. Prosperous Fitness,Jean-Baptiste Adams,,"Tōnuitanga. Prosperous Fitness 12 Ihakara Street, Paraparaumu 5032, New Zealand",12 Ihakara Street,Paraparaumu 5032,New Zealand,-40.919613299999995,175.0012318,5,6,https://www.tonuitanga.com/,+64 27 310 9951,ChIJq6gGmxShQG0RIXSHQMW5a3Y,Wellness program,Pacific/Auckland
Brooklyn Training Hall,Jean-Baptiste Adams,,"Brooklyn Training Hall, 321 Scholes St, Brooklyn, NY 11206, United States",321 Scholes St,"Brooklyn, NY 11206",United States,40.709742999999996,-73.935468,5,49,https://brooklyntraininghall.com/,+1 347-470-7743,ChIJ-47a3j1fwokRk2iIDA5H0sg,"Gym, Weightlifting area",America/New_York
Strength Academy Wales,Jean-Baptiste Adams,,"Strength Academy Wales, Pembrokeshire Sports Village, Haverfordwest SA61 2NX, United Kingdom",Pembrokeshire Sports Village,Haverfordwest,SA61 2NX,51.806113599999996,-4.9610319,4.6,46,http://www.strengthacademy.wales/,,ChIJoSL-Q28vaUgRl0ssUZJHjg8,"Gym, Sports club",Europe/London
Complete Performance,Jean-Baptiste Adams,,"Complete Performance, 3 Whitney Rd, Basingstoke RG24 8NS, United Kingdom",3 Whitney Rd,Basingstoke,RG24 8NS,51.2744247,-1.0667058,5,68,http://complete-performance.co.uk/,+44 1256 840333,ChIJ-9UogW4hdEgRpCyA6-dMxcg,"Gym, Fitness center, Personal trainer",Europe/London
Team Cavanagh Weightlifting,Jean-Baptiste Adams,,"Team Cavanagh Weightlifting, 719a South St, Glasgow G14 0QQ, United Kingdom",719a South St,Glasgow,G14 0QQ,55.8728348,-4.34133,5,12,,+44 78556342,ChIJT3dCd5hHiEgRMg92wsDczco,"Sports club, Gym",Europe/London
Easm Entente Athletique,Jean-Baptiste Adams,,"Easm Entente Athletique, Complexe Robert Monceau, 12 Av. Paul Berniard, 33160 Saint-Médard-en-Jalles, France",Complexe Robert Monceau,12 Av. Paul Berniard,33160 Saint-Médard-en-Jalles,44.8839149,-0.70795,4.8,11,https://www.easm33160.com/,+33 5 57 93 01 94,ChIJFWm0_PzQVA0R3C4w2V9DC5s,Sports club,Europe/Paris
CrossFit Murrayfield,Jean-Baptiste Adams,,"CrossFit Murrayfield, 16 Sauchiebank, Edinburgh EH11 2NN, United Kingdom",16 Sauchiebank,Edinburgh,EH11 2NN,55.94247,-3.2274369999999997,4.9,135,http://www.crossfitmurrayfield.com/,+44 7853 990554,ChIJuQOUWanHh0gR4r0NGAeTalA,Fitness center,Europe/London
CrossFit 717,Jean-Baptiste Adams,,"CrossFit 717, 836 Market St, Lemoyne, PA 17043, United States",836 Market St,"Lemoyne, PA 17043",United States,40.2430697,-76.90218829999999,4.9,116,https://crossfit717.com/,,ChIJ4z8WAJrByIkR1ulsQGjKFXc,"Physical fitness program, Gym",America/New_York
PWRBLD Gym KOP,Jean-Baptiste Adams,,"PWRBLD Gym KOP, 167 Town Center Rd, King of Prussia, PA 19406, United States",167 Town Center Rd,"King of Prussia, PA 19406",United States,40.094135,-75.3693079,5,1128,http://www.pwrbldgym.com/,+1 484-231-1252,ChIJ6znZ1NKVxokRLYf0cPfBhng,Gym,America/New_York
Atlanta Barbell,Jean-Baptiste Adams,,"Atlanta Barbell, 185 Sams St B, Decatur, GA 30030, United States",185 Sams St B,"Decatur, GA 30030",United States,33.771843,-84.2832025,4.7,130,http://www.atlantabarbell.com/,,ChIJJRdP980G9YgRstWa-vwIAZ8,"Gym, Fitness center, Personal trainer, Physical fitness program, Wellness center",America/New_York
Glasgow City Barbell Club,Jean-Baptiste Adams,,"Glasgow City Barbell Club, 588 Glasgow Rd, Clydebank G81 1NH, United Kingdom",588 Glasgow Rd,Clydebank,G81 1NH,55.8904967,-4.387436999999999,5,7,https://instagram.com/glasgowcitybarbell?utm_medium=copy_link,+44 7971 638689,ChIJB36gOQlPiEgRJj_-48YCUGM,Gym,Europe/London
Guildford Weightlifting,Jean-Baptiste Adams,,"Unit 2, Guildford Weightlifting, Weightlifting, Pew Corner, Old Portsmouth Rd, Guildford GU3 1LP, United Kingdom","Unit 2, Weightlifting, Pew Corner",Old Portsmouth Rd,Guildford GU3 1LP,51.2195319,-0.5793961,5,4,https://www.facebook.com/guildfordweightlifting/,+44 7890 968154,ChIJC3D83GHQdUgRz3jwCf8QrKA,Gym,Europe/London
Manchester Strength & Conditioning,Jean-Baptiste Adams,,"Unit O4, Manchester Strength & Conditioning, Pearl Mill, Industrial Estate, Stockport Rd W, Lower Bredbury, Stockport SK6 2BP, United Kingdom","Unit O4, Pearl Mill, Industrial Estate",Stockport Rd W,Lower Bredbury,53.414456599999994,-2.1339520999999997,5,23,http://www.manchestersc.co.uk/,+44 7970 441171,ChIJwd67EIq0e0gR_qamqAxjDbE,"Gym, Massage therapist, Personal trainer, Physical fitness program, Sports massage therapist, Weight loss service, Weightlifting area",Europe/London
Rocky Top CrossFit,Jean-Baptiste Adams,,"Rocky Top CrossFit, 1412 N 6th Ave, Knoxville, TN 37917, United States",1412 N 6th Ave,"Knoxville, TN 37917",United States,35.9863135,-83.9139386,4.9,60,http://rockytopcrossfit.com/,+1 865-599-2527,ChIJOWyfQ84XXIgRYhneL285WEY,"Physical fitness program, Personal trainer, Sports club",America/New_York
Breakthrough Fitness Australia,Jean-Baptiste Adams,,"Breakthrough Fitness Australia, 200 Railway Terrace, Merrylands NSW 2161, Australia",200 Railway Terrace,Merrylands NSW 2161,Australia,-33.8462333,150.9906311,5,212,https://bt-merchandise-and-fitness-accessories.myshopify.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAdGRleAP4xQxleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacZUb1yrkbSBo5WjAgUNY1N_eFsM35K3l_ZbvNlAz2e_cPCLlRq3axAZQpjGA_aem_VSfbnQ7tSDvAK0QHt2JTqg,+61 400 626 308,ChIJ1ShR8jyYEmsRB8U5si3n1sk,Gym,Australia/Sydney
Uplift Lifting Club,Jean-Baptiste Adams,,"Uplift Lifting Club, Kerrs Rd, Lidcombe NSW 2141, Australia",Kerrs Rd,Lidcombe NSW 2141,Australia,-33.866403999999996,151.0413442,5,86,http://www.upliftgym.com.au/,+61 452 404 004,ChIJVwfJYJS9EmsRLWSeCmoQOK8,"Personal trainer, Training center, Weightlifting area, Women's personal trainer",Australia/Sydney
Pittsburgh Barbell Club,Jean-Baptiste Adams,,"Pittsburgh Barbell Club, 331 Station St, Bridgeville, PA 15017, United States",331 Station St,"Bridgeville, PA 15017",United States,40.3588576,-80.11299509999999,4.8,21,https://pghbarbell.com/,+1 412-310-5398,ChIJ4f-7yO5XNIgRrw20CbjVclQ,Gym,America/New_York
Bounce gym and Injury Clinic,Jean-Baptiste Adams,,"Bounce gym and Injury Clinic, 30 High St, New Malden KT3 4HE, United Kingdom",30 High St,New Malden,KT3 4HE,51.4024602,-0.2557559,4.7,130,http://www.bouncegym.co.uk/,+44 20 8949 3163,ChIJi1p2GhMJdkgRWnaioPOHLF0,Gym,Europe/London
CrossFit Verulamium,Jean-Baptiste Adams,,"CrossFit Verulamium, Burston Nurseries, N Orbital Rd, Chiswell Green, St Albans AL2 2DS, United Kingdom",Burston Nurseries,N Orbital Rd,Chiswell Green,51.7201242,-0.3599247,5,26,http://crossfitverulamium.com/,+44 7585 778388,ChIJlXnuhsM_dkgRnYwo5-fxuNI,Gym,Europe/London
CrossFit 3216 - Hamilton,Jean-Baptiste Adams,,"CrossFit 3216 - Hamilton 23 Claudelands Road, Hamilton East, Hamilton 3216, New Zealand",23 Claudelands Road,Hamilton East,Hamilton 3216,-37.781014,175.28999159999998,4.8,46,http://www.crossfit3216.co.nz/,+64 22 656 3898,ChIJyU-FVr4YbW0R0YlKd605Vsc,Gym,Pacific/Auckland
Woking Weightlifting Club,Jean-Baptiste Adams,,"Woking Weightlifting Club, Leisure Centre, Kingfield Rd, Woking GU22 9BA, United Kingdom",Leisure Centre,Kingfield Rd,Woking GU22 9BA,51.309670399999995,-0.5564705999999999,5,1,,+44 7534 077238,ChIJDxK7bRXZdUgRP38gO0rt18g,Sports club,Europe/London
Wolfhouse Gym,Jean-Baptiste Adams,,"Wolfhouse Gym, North Rd, Fort William PH33 6SU, United Kingdom",North Rd,Fort William,PH33 6SU,56.8242371,-5.0903626,5,64,http://www.wolfhousegym.com/,,ChIJby28qAvLjkgRPUkHk5dAFlc,"Gym, Leisure center, Personal trainer, Sports complex, Weightlifting area",Europe/London
Team Soul Miami,Jean-Baptiste Adams,,"Team Soul Miami, 7360 SW 24th St APT 31, Miami, FL 33155, United States",7360 SW 24th St APT 31,"Miami, FL 33155",United States,25.7468476,-80.3147821,4.9,112,https://teamsoultraining.com/,+1 305-668-2898,ChIJLxbjDWW42YgRZHml134Slgk,"Gym, Fitness center, Personal trainer, Weight loss service, Wellness program",America/New_York
Winners 2000 Fitness - Torquay,Jean-Baptiste Adams,,"Winners 2000 Fitness - Torquay, 168-174 Teignmouth Rd, Torquay TQ1 4RY, United Kingdom",168-174 Teignmouth Rd,Torquay,TQ1 4RY,50.4820183,-3.5360837999999997,4.7,188,https://www.winners2000.co.uk/torquay/,+44 1803 327561,ChIJC-cLyrgPbUgRHDSDcL86nS8,"Gym, Fitness center",Europe/London
UnScared,Jean-Baptiste Adams,,"UnScared, 2e Daalsedijk 4b, 3551 EJ Utrecht, Netherlands",2e Daalsedijk 4b,3551 EJ Utrecht,Netherlands,52.0972856,5.102632799999999,4.9,222,http://unscared.fitness/,+31 30 227 1612,ChIJE0w8M2xvxkcR1TAYI_7Awpw,"Gym, Athletic club, Fitness center, Personal trainer",Europe/Amsterdam
Hackney Weightlifting Club,Jean-Baptiste Adams,,"Hackney Weightlifting Club, Meeting Field Path, London E9 6RT, United Kingdom",Meeting Field Path,London,E9 6RT,51.5465233,-0.0496736,5,32,http://www.hackneyweightliftingclub.co.uk/,+44 7432 712495,ChIJ_941KuMcdkgR1_H_1uceMpo,Gym,Europe/London
JDI Barbell Harlem,Jean-Baptiste Adams,Connor of Stoic Strength Systems used to work here.,"JDI Barbell Harlem, 1767 Park Ave, New York, NY 10035, United States",1767 Park Ave,"New York, NY 10035",United States,40.803241899999996,-73.9398856,4.8,145,http://www.jdibarbell.com/,+1 347-477-0089,ChIJSTCw2tdYwokRbAmQ0DjO_YY,Gym,America/New_York
Complexul Sportiv National Poiana Brasov,Jean-Baptiste Adams,Mainly for training camps. But could likely get access to the gym if in the area.,"Complexul Sportiv National Poiana Brasov, Unnamed Road, 500001 Brașov, Romania",Unnamed Road,500001 Brașov,Romania,45.5891747,25.5486611,4.4,96,https://csnpoianabrasov.ro/,,ChIJy_vxxYJEs0ARbxW-L0JlyFs,Amusement center,Europe/Bucharest
Sport e Salute - Scuola dello Sport,Jean-Baptiste Adams,This is where the Italian team trains. Probably only open to native Italians.,"Sport e Salute - Scuola dello Sport, Largo Giulio Onesti, 1, 00197 Roma RM, Italy","Largo Giulio Onesti, 1",00197 Roma RM,Italy,41.9371205,12.493407,4.8,64,http://www.sportesalute.eu/,+39 06 3272 9162,ChIJC5nREi9hLxMRAJnBrAb-vqE,Sports school,Europe/Rome
Orkney Amateur Weight Lifting Club,Jean-Baptiste Adams,Excellent refurbed facilities.,"Orkney Amateur Weight Lifting Club, Cairston Rd, Stromness KW16 3JS, United Kingdom",Cairston Rd,Stromness,KW16 3JS,58.9694496,-3.2915408,,,https://www.facebook.com/OrkneyWeightlifting/,+44 7740 883034,ChIJb4-_SNX7mkgR0KjrAMKAPjY,Sports club,Europe/London
Inverness Leisure,Jean-Baptiste Adams,Leisure centre but with a well equipped gym for weightlifting.,"Inverness Leisure, Bught Ln, Inverness IV3 5SS, United Kingdom",Bught Ln,Inverness,IV3 5SS,57.464054,-4.2393564,4.2,1399,https://www.highlifehighland.com/leisure-centres/inverness-leisure-centre,+44 1463 667500,ChIJ8UKW3OFzj0gRU8umdYIrxNg,"Leisure center, Athletic track, Gym, Swimming pool, Tourist attraction",Europe/London
Société Athlétique Montmartroise,Jean-Baptiste Adams,More of a powerlifting gym nowadays but has strong WL history.,"Société Athlétique Montmartroise, Centre sportif Bertrand Dauvin, 12 Rue René Binet, 75018 Paris, France",Centre sportif Bertrand Dauvin,12 Rue René Binet,75018 Paris,48.8994691,2.3423243,4.1,41,https://www.paris-sam.fr/,+33 6 37 85 24 74,ChIJ32_aS_Ru5kcRVEJesTwPax0,Weightlifting area,Europe/Paris
Fitness Renaissance,Jean-Baptiste Adams,Placeholder for Crystal Palace Weightlifting club. Hard to find the gym so best is to go to the front desk for directions.,"Fitness Renaissance, Crystal Palace National Sports Centre, Ledrington Rd SE19 2BB, United Kingdom",Crystal Palace National Sports Centre,Ledrington Rd,SE19 2BB,51.420313099999994,-0.0678998,5,109,https://www.fit-ren.com/,+44 7809 701428,ChIJRVUFnHIBdkgRVP_EhktxedA,"Personal trainer, Hypnotherapy service, Nutritionist, Osteopath",Europe/London
Ealing Weightlifting Club - Stars For The Future,Jean-Baptiste Adams,In a small building by the track.,"Ealing Weightlifting Club - Stars For The Future, Stockdove Way, Perivale, Greenford UB6 8TJ, United Kingdom",Stockdove Way,Perivale,Greenford UB6 8TJ,51.533107,-0.3369935,5,73,http://www.starsforthefuture.com/,+44 7958 685884,ChIJE0INi4wSdkgRNjgb3mvAU1I,Gym,Europe/London
Qmotion Sport and Fitness Centre,Jean-Baptiste Adams,Uni gym but open to public.,"Qmotion Sport and Fitness Centre, 15 Bancroft Rd, London E1 4FZ, United Kingdom",15 Bancroft Rd,London,E1 4FZ,51.5232398,-0.0429605,4.2,227,http://www.qmsu.org/qmotion,+44 20 7882 8040,ChIJJ2z34SgddkgR7BAlngoKk3w,"Gym, Badminton court, Basketball court, Fitness center, Personal trainer, Sports complex, Squash court, Volleyball court",Europe/London
Dobeles Sporta centrs,Sara Strong,You need to email them first,"Dobeles Sporta centrs, Tērvetes iela 10, Dobele, Dobele pilsēta, LV-3701, Latvia",Tērvetes iela 10,"Dobele, Dobele pilsēta, LV-3701",Latvia,56.6210471,23.2703114,4.4,463,https://www.dobelesporto.lv/,+371 63 781 886,ChIJEcDmbz0U70YRStLNr84XHnc,Sports complex,Europe/Riga
Jolly Sailor Strength & Conditioning,Sara Strong,,"Jolly Sailor Strength & Conditioning, Penryn TR10 9NA, United Kingdom",Penryn,TR10 9NA,United Kingdom,50.165262,-5.158939999999999,5,21,https://jollysailor-sandc.co.uk/,+44 7919 183015,ChIJYQ_UYJEja0gR74hqiOKejjA,Fitness center,Europe/London
CrossFit Santa Barbara,Philippa Knipe,,"CrossFit Santa Barbara, 264 Orange Ave, Goleta, CA 93117, United States",264 Orange Ave,"Goleta, CA 93117",United States,34.4346713,-119.82860749999999,5,60,http://www.crossfitsantabarbara.com/,+1 805-699-6561,ChIJLbMv1YgT6YARy8Pak7Phm2M,"Fitness center, Gym, Personal trainer, Physical fitness program, Recreation center",America/Los_Angeles
CrossFit Golden Gate,Philippa Knipe,,"CrossFit Golden Gate, 1946 Van Ness Ave, San Francisco, CA 94109, United States",1946 Van Ness Ave,"San Francisco, CA 94109",United States,37.793802,-122.422607,4.9,184,http://crossfitgoldengate.com/,+1 415-609-4002,ChIJ82O32Sl-j4AR-OR3Ac14U9g,"Gym, Fitness center, Personal trainer, Physical fitness program, Sports club, Weightlifting area",America/Los_Angeles
CrossFit Parque das Nações,Sara Strong,Fantastic for a training session during a quick layover. Easier to get an uber if you walk outside of the airport for 10 min.,"CrossFit Parque das Nações, Estrada da Circunvalação, R. Salgueiro Maia 22B, 2685-311",Estrada da Circunvalação,R. Salgueiro Maia 22B,2685-311,38.784439,-9.1309642,4.8,97,http://www.pdncrossfit.com/,917 908 041,ChIJ7Rt8ydIzGQ0R6zFm5Ahx57o,Gym,Europe/Lisbon
CrossFit am See,Sara Strong,"They have two halls, you can go whenever you want and have the entire second hall to yourself. Pics are not updated, there's platforms and decent equipment. Access with airbnb lock, nice people and responsive.","CrossFit am See, Anton-Sommer-Straße 7, 88046 Friedrichshafen, Germany",Anton-Sommer-Straße 7,88046 Friedrichshafen,Germany,47.651234099999996,9.5032373,5,55,http://www.crossfitamsee.de/,+49 160 92216098,ChIJd6gjf9kAm0cR_UJ2a3C36-4,"Physical fitness program, Fitness center, Gym",Europe/Berlin
